rowname,total
total_May07_AM,582
total_May07_MD,1699
total_May07_PM,1514
total_Sept07_AM,708
total_Sept07_MD,1327
total_Sept07_PM,1656
total_May08_AM,673
total_May08_MD,1023
total_May08_PM,2641
total_Sept08_AM,529
total_Sept08_MD,1436
total_Sept08_PM,2361
total_May09_AM,653
total_May09_MD,2302
total_May09_PM,2670
total_Sept09_AM,1259
total_Sept09_MD,2455
total_Sept09_PM,3735
total_May10_AM,647
total_May10_MD,2778
total_May10_PM,4176
total_Sept10_AM,527
total_Sept10_MD,2217
total_Sept10_PM,2360
total_May11_AM,654
total_May11_MD,2979
total_May11_PM,3949
total_Sept11_AM,646
total_Sept11_MD,2140
total_Sept11_PM,1956
total_May12_AM,255
total_May12_MD,1458
total_May12_PM,496
total_Sept12_AM,614
total_Sept12_MD,2848
total_Sept12_PM,2947
total_May13_AM,662
total_May13_MD,1886
total_May13_PM,2675
total_Sept13_AM,641
total_Sept13_MD,3356
total_Sept13_PM,4984
total_May14_AM,618
total_May14_MD,6049
total_May14_PM,6493
total_Sept14_AM,462
total_Sept14_MD,3265
total_Sept14_PM,3760
total_May15_AM,631
total_May15_MD,3835
total_May15_PM,3173
sum_May07,3795
sum_Sept07,3691
sum_2007,7486
sum_May08,4337
sum_Sept08,4326
sum_2008,8663
sum_May09,5625
sum_Sept09,7449
sum_2009,13074
sum_May10,7601
sum_Sept10,5104
sum_2010,12705
sum_May11,7582
sum_Sept11,4742
sum_2011,12324
sum_May12,2209
sum_Sept12,6409
sum_2012,8618
sum_May13,5223
sum_Sept13,8981
sum_2013,14204
sum_May14,13160
sum_Sept14,7487
sum_2014,20647
sum_May15,7639
